CMDLINE /Users/jonatas/projects/github/huge-dataset-training/venv/bin/python main.py
MEM 235.496094 1610474937.8737
MEM 235.496094 1610474937.9781
MEM 235.496094 1610474938.0816
MEM 235.496094 1610474938.1826
MEM 235.496094 1610474938.2861
MEM 235.496094 1610474938.3901
MEM 235.496094 1610474938.4921
MEM 235.496094 1610474938.5968
MEM 235.496094 1610474938.7004
MEM 235.496094 1610474938.8029
MEM 235.496094 1610474938.9050
MEM 235.496094 1610474939.0091
MEM 235.496094 1610474939.1138
MEM 235.496094 1610474939.2173
MEM 235.496094 1610474939.3222
MEM 235.496094 1610474939.4236
MEM 235.496094 1610474939.5246
MEM 235.496094 1610474939.6274
MEM 235.496094 1610474939.7323
MEM 235.496094 1610474939.8367
MEM 235.496094 1610474939.9374
MEM 235.515625 1610474940.0398
MEM 235.515625 1610474940.1434
MEM 235.515625 1610474940.2444
MEM 235.515625 1610474940.3484
MEM 235.515625 1610474940.4517
MEM 235.515625 1610474940.5531
MEM 235.515625 1610474940.6545
MEM 235.515625 1610474940.7554
MEM 235.515625 1610474940.8587
MEM 235.515625 1610474940.9619
MEM 235.515625 1610474941.0635
MEM 235.515625 1610474941.1641
MEM 235.515625 1610474941.2691
MEM 235.515625 1610474941.3725
MEM 235.515625 1610474941.4732
MEM 235.515625 1610474941.5785
MEM 235.515625 1610474941.6788
MEM 235.515625 1610474941.7834
MEM 235.515625 1610474941.8874
MEM 235.515625 1610474941.9909
MEM 235.515625 1610474942.0926
MEM 235.515625 1610474942.1971
MEM 235.515625 1610474942.2994
MEM 235.515625 1610474942.4011
MEM 235.515625 1610474942.5045
MEM 235.515625 1610474942.6056
MEM 235.515625 1610474942.7101
MEM 235.515625 1610474942.8152
MEM 235.574219 1610474942.9202
MEM 236.597656 1610474943.0231
MEM 237.734375 1610474943.1244
MEM 238.691406 1610474943.2246
MEM 239.515625 1610474943.3275
MEM 240.617188 1610474943.4319
MEM 241.656250 1610474943.5349
MEM 242.621094 1610474943.6368
MEM 243.734375 1610474943.7372
MEM 244.898438 1610474943.8425
MEM 246.121094 1610474943.9469
MEM 247.148438 1610474944.0473
MEM 248.238281 1610474944.1482
MEM 249.441406 1610474944.2516
MEM 250.558594 1610474944.3540
MEM 251.695312 1610474944.4549
MEM 252.808594 1610474944.5561
MEM 254.128906 1610474944.6613
MEM 255.308594 1610474944.7641
MEM 256.464844 1610474944.8669
MEM 257.429688 1610474944.9691
MEM 258.617188 1610474945.0706
MEM 259.761719 1610474945.1724
MEM 260.929688 1610474945.2768
MEM 261.980469 1610474945.3819
MEM 263.171875 1610474945.4829
MEM 263.359375 1610474945.5833
MEM 264.195312 1610474945.6858
MEM 265.332031 1610474945.7910
MEM 266.437500 1610474945.8912
MEM 267.625000 1610474945.9964
MEM 268.433594 1610474946.0993
MEM 268.894531 1610474946.2039
MEM 269.371094 1610474946.3048
MEM 270.121094 1610474946.4094
MEM 271.101562 1610474946.5105
MEM 272.285156 1610474946.6153
MEM 273.398438 1610474946.7174
MEM 274.437500 1610474946.8212
MEM 275.566406 1610474946.9216
MEM 276.679688 1610474947.0263
MEM 277.832031 1610474947.1309
MEM 279.042969 1610474947.2330
MEM 280.218750 1610474947.3357
MEM 281.410156 1610474947.4384
MEM 282.515625 1610474947.5411
MEM 283.546875 1610474947.6412
MEM 284.652344 1610474947.7445
MEM 285.726562 1610474947.8453
MEM 287.019531 1610474947.9480
MEM 288.226562 1610474948.0492
MEM 289.238281 1610474948.1509
MEM 290.257812 1610474948.2528
MEM 291.492188 1610474948.3565
MEM 292.625000 1610474948.4596
MEM 293.812500 1610474948.5646
MEM 294.914062 1610474948.6661
MEM 296.152344 1610474948.7703
MEM 297.261719 1610474948.8712
MEM 330.578125 1610474948.9732
MEM 416.878906 1610474949.0748
MEM 409.324219 1610474949.1753
MEM 409.324219 1610474949.2803
MEM 338.054688 1610474949.3852
MEM 256.812500 1610474949.4890
MEM 256.812500 1610474949.5903
MEM 256.812500 1610474949.6945
MEM 256.812500 1610474949.7985
MEM 256.812500 1610474949.9026
MEM 242.312500 1610474950.0118
MEM 242.312500 1610474950.1151
MEM 242.312500 1610474950.2192
MEM 242.312500 1610474950.3229
MEM 242.312500 1610474950.4245
MEM 242.312500 1610474950.5294
MEM 242.312500 1610474950.6321
MEM 242.312500 1610474950.7361
MEM 242.312500 1610474950.8399
MEM 242.312500 1610474950.9447
MEM 242.312500 1610474951.0488
MEM 242.312500 1610474951.1502
MEM 242.312500 1610474951.2549
MEM 242.312500 1610474951.3576
MEM 242.312500 1610474951.4596
MEM 242.312500 1610474951.5646
MEM 242.312500 1610474951.6651
MEM 242.312500 1610474951.7689
MEM 242.312500 1610474951.8717
MEM 242.312500 1610474951.9730
MEM 242.312500 1610474952.0734
MEM 242.312500 1610474952.1761
MEM 242.312500 1610474952.2803
MEM 242.312500 1610474952.3816
MEM 242.312500 1610474952.4819
MEM 242.312500 1610474952.5869
MEM 242.312500 1610474952.6887
MEM 242.312500 1610474952.7917
MEM 242.312500 1610474952.8932
MEM 242.312500 1610474952.9985
MEM 242.312500 1610474953.1008
MEM 242.312500 1610474953.2051
MEM 242.312500 1610474953.3095
MEM 242.312500 1610474953.4105
MEM 242.312500 1610474953.5120
MEM 242.312500 1610474953.6151
MEM 242.312500 1610474953.7172
MEM 242.312500 1610474953.8223
MEM 242.312500 1610474953.9270
MEM 242.515625 1610474954.0316
MEM 242.515625 1610474954.1336
MEM 242.515625 1610474954.2371
MEM 242.515625 1610474954.3408
MEM 242.515625 1610474954.4416
MEM 242.515625 1610474954.5444
MEM 242.515625 1610474954.6448
MEM 242.515625 1610474954.7496
MEM 242.515625 1610474954.8548
MEM 242.515625 1610474954.9562
MEM 242.515625 1610474955.0609
MEM 242.515625 1610474955.1651
MEM 242.515625 1610474955.2696
MEM 242.976562 1610474955.3749
MEM 244.207031 1610474955.4753
MEM 245.429688 1610474955.5769
MEM 246.625000 1610474955.6817
MEM 247.929688 1610474955.7870
MEM 249.277344 1610474955.8899
MEM 250.207031 1610474955.9927
MEM 251.320312 1610474956.0935
MEM 252.414062 1610474956.1974
MEM 253.492188 1610474956.3008
MEM 254.718750 1610474956.4053
MEM 255.753906 1610474956.5092
MEM 256.886719 1610474956.6110
MEM 258.070312 1610474956.7151
MEM 259.246094 1610474956.8157
MEM 260.406250 1610474956.9198
MEM 261.636719 1610474957.0222
MEM 262.765625 1610474957.1273
MEM 263.957031 1610474957.2317
MEM 265.058594 1610474957.3357
MEM 266.171875 1610474957.4398
MEM 267.191406 1610474957.5408
MEM 268.292969 1610474957.6426
MEM 269.398438 1610474957.7478
MEM 269.531250 1610474957.8529
MEM 270.863281 1610474957.9581
MEM 271.464844 1610474958.0611
MEM 272.457031 1610474958.1662
MEM 273.527344 1610474958.2698
MEM 274.632812 1610474958.3716
MEM 275.835938 1610474958.4751
MEM 276.898438 1610474958.5773
MEM 278.070312 1610474958.6817
MEM 279.226562 1610474958.7840
MEM 280.386719 1610474958.8879
MEM 281.496094 1610474958.9927
MEM 282.664062 1610474959.0977
MEM 283.929688 1610474959.2004
MEM 284.933594 1610474959.3009
MEM 286.011719 1610474959.4053
MEM 287.171875 1610474959.5089
MEM 288.421875 1610474959.6128
MEM 289.652344 1610474959.7151
MEM 290.660156 1610474959.8182
MEM 291.746094 1610474959.9219
MEM 292.890625 1610474960.0250
MEM 333.113281 1610474960.1253
MEM 391.808594 1610474960.2292
MEM 397.046875 1610474960.3317
MEM 249.343750 1610474960.4341
MEM 249.343750 1610474960.5385
MEM 249.343750 1610474960.6393
MEM 249.343750 1610474960.7408
MEM 249.343750 1610474960.8441
MEM 249.343750 1610474960.9482
MEM 249.343750 1610474961.0516
MEM 249.343750 1610474961.1552
MEM 249.343750 1610474961.2559
MEM 249.343750 1610474961.3606
MEM 249.343750 1610474961.4654
MEM 249.343750 1610474961.5657
MEM 249.343750 1610474961.6696
MEM 249.343750 1610474961.7716
MEM 249.343750 1610474961.8722
MEM 249.343750 1610474961.9766
MEM 249.343750 1610474962.0817
MEM 249.343750 1610474962.1837
MEM 249.343750 1610474962.2874
MEM 249.343750 1610474962.3878
MEM 249.343750 1610474962.4918
MEM 249.343750 1610474962.5962
MEM 249.343750 1610474962.6966
MEM 249.343750 1610474962.8002
MEM 249.343750 1610474962.9048
MEM 249.343750 1610474963.0099
MEM 249.343750 1610474963.1105
MEM 249.343750 1610474963.2114
MEM 249.343750 1610474963.3152
MEM 249.343750 1610474963.4191
MEM 249.343750 1610474963.5209
MEM 249.343750 1610474963.6261
MEM 249.343750 1610474963.7274
MEM 249.343750 1610474963.8317
MEM 249.343750 1610474963.9351
MEM 249.343750 1610474964.0402
MEM 249.343750 1610474964.1415
MEM 249.343750 1610474964.2459
MEM 249.343750 1610474964.3485
MEM 249.343750 1610474964.4517
MEM 249.343750 1610474964.5524
MEM 249.343750 1610474964.6573
MEM 249.585938 1610474964.7588
MEM 249.585938 1610474964.8630
MEM 249.585938 1610474964.9634
MEM 249.585938 1610474965.0660
MEM 249.585938 1610474965.1675
MEM 249.585938 1610474965.2709
MEM 249.585938 1610474965.3714
MEM 249.585938 1610474965.4754
MEM 249.585938 1610474965.5806
MEM 249.585938 1610474965.6832
MEM 249.585938 1610474965.7858
MEM 249.585938 1610474965.8901
MEM 249.585938 1610474965.9909
MEM 249.585938 1610474966.0915
MEM 249.585938 1610474966.1964
MEM 249.585938 1610474966.2987
MEM 249.585938 1610474966.4015
MEM 249.585938 1610474966.5021
MEM 249.585938 1610474966.6067
MEM 249.585938 1610474966.7100
MEM 249.726562 1610474966.8130
MEM 250.750000 1610474966.9152
MEM 251.691406 1610474967.0157
MEM 252.671875 1610474967.1184
MEM 253.304688 1610474967.2220
MEM 254.285156 1610474967.3223
MEM 255.097656 1610474967.4250
MEM 255.992188 1610474967.5297
MEM 256.718750 1610474967.6335
MEM 257.480469 1610474967.7351
MEM 257.921875 1610474967.8399
MEM 258.097656 1610474967.9412
MEM 258.218750 1610474968.0442
MEM 258.402344 1610474968.1465
MEM 257.621094 1610474968.2489
MEM 248.468750 1610474968.3515
MEM 249.078125 1610474968.4520
MEM 249.480469 1610474968.5525
MEM 244.507812 1610474968.6531
MEM 244.914062 1610474968.7571
MEM 245.917969 1610474968.8618
MEM 246.867188 1610474968.9653
MEM 247.828125 1610474969.0703
MEM 248.910156 1610474969.1730
MEM 250.031250 1610474969.2771
MEM 251.066406 1610474969.3818
MEM 252.144531 1610474969.4858
MEM 253.320312 1610474969.5903
MEM 254.226562 1610474969.6926
MEM 254.957031 1610474969.7968
MEM 255.996094 1610474969.8979
MEM 256.757812 1610474970.0016
MEM 257.753906 1610474970.1067
MEM 258.855469 1610474970.2106
MEM 259.816406 1610474970.3153
MEM 260.875000 1610474970.4161
MEM 261.882812 1610474970.5193
MEM 262.992188 1610474970.6235
MEM 264.105469 1610474970.7270
MEM 298.152344 1610474970.8318
MEM 352.511719 1610474970.9352
MEM 328.949219 1610474971.0374
MEM 249.492188 1610474971.1385
MEM 249.492188 1610474971.2409
MEM 249.492188 1610474971.3424
MEM 249.492188 1610474971.4426
MEM 249.492188 1610474971.5470
MEM 221.492188 1610474971.6478
MEM 221.492188 1610474971.7519
MEM 221.492188 1610474971.8561
MEM 221.492188 1610474971.9571
MEM 221.492188 1610474972.0601
MEM 221.492188 1610474972.1653
MEM 221.492188 1610474972.2693
